iter	Passed	Remaining
711	10767	140466
712	10781	140433
713	10796	140418
714	10811	140400
715	10826	140375
716	10840	140351
717	10855	140329
718	10869	140309
719	10883	140279
720	10897	140250
721	10911	140212
722	10925	140191
723	10939	140162
724	10953	140129
725	10966	140091
726	10982	140083
727	10998	140076
728	11013	140061
729	11028	140042
730	11042	140019
731	11056	139985
732	11070	139961
733	11085	139938
734	11101	139934
735	11114	139901
736	11128	139870
737	11142	139842
738	11157	139823
739	11171	139798
740	11185	139763
741	11200	139749
742	11214	139715
743	11227	139685
744	11241	139657
745	11256	139640
746	11270	139609
747	11284	139582
748	11298	139550
749	11314	139545
750	11328	139513
751	11342	139486
752	11356	139464
753	11371	139444
754	11385	139414
755	11401	139409
756	11416	139391
757	11430	139372
758	11444	139343
759	11458	139309
760	11471	139274
761	11486	139254
762	11501	139239
763	11517	139236
764	11531	139208
765	11545	139181
766	11560	139168
767	11575	139144
768	11589	139116
769	11603	139091
770	11617	139065
771	11631	139034
772	11645	139008
773	11659	138984
774	11674	138969
775	11690	138959
776	11704	138931
777	11718	138903
778	11732	138880
779	11746	138852
780	11761	138839
781	11776	138812
782	11789	138780
783	11803	138749
784	11817	138720
785	11830	138688
786	11844	138660
787	11859	138639
788	11873	138610
789	11886	138578
790	11900	138552
791	11915	138537
792	11931	138527
793	11945	138503
794	11959	138476
795	11973	138446
796	11988	138436
797	12003	138412
798	12016	138382
799	12031	138359
800	12044	138328
801	12059	138309
802	12073	138283
803	12087	138258
804	12101	138230
805	12115	138200
806	12129	138179
807	12143	138145
808	12157	138118
809	12171	138096
810	12186	138076
811	12200	138047
812	12213	138017
813	12228	137996
814	12242	137973
815	12256	137940
816	12269	137912
817	12283	137882
818	12298	137865
819	12312	137838
820	12326	137813
821	12340	137787
822	12355	137772
823	12369	137750
824	12384	137726
825	12398	137705
826	12413	137684
827	12426	137657
828	12440	137629
829	12454	137598
830	12468	137577
831	12482	137549
832	12496	137525
833	12511	137504
834	12526	137486
835	12539	137458
836	12553	137426
837	12567	137402
